customer_id,customer_name,customer_type,city,state,loyalty_tier
C358,Customer_C358,Retail,Mumbai,Maharashtra,SILVER
C3930,Customer_C3930,Retail,Kolkata,Delhi,SILVER
C4691,Customer_C4691,Nan,Bangalore,Karnataka,SILVER
C4746,Customer_C4746,Wholesale,Delhi,Delhi,GOLD
C2748,Customer_C2748,Wholesale,Kolkata,Delhi,NAN
C1320,Customer_C1320,Retail,Nan,West Bengal,NAN
C5105,Customer_C5105,Retail,Kolkata,Maharashtra,SILVER
C307,Customer_C307,Wholesale,Bangalore,West Bengal,SILVER
C1775,Customer_C1775,Wholesale,Delhi,West Bengal,NAN
C1227,Customer_C1227,Nan,Delhi,West Bengal,SILVER
C3795,Customer_C3795,Wholesale,Mumbai,Maharashtra,BRONZE
C616,Customer_C616,Retail,Kolkata,Delhi,NAN
C2753,Customer_C2753,Retail,Delhi,Maharashtra,GOLD
C442,Customer_C442,Retail,Mumbai,West Bengal,GOLD
C295,Customer_C295,Nan,Delhi,Karnataka,SILVER
C3265,Customer_C3265,Wholesale,Nan,Maharashtra,GOLD
C737,Customer_C737,Nan,Bangalore,West Bengal,SILVER
C5874,Customer_C5874,Retail,Mumbai,Delhi,NAN
C994,Customer_C994,Retail,Delhi,Delhi,SILVER
C2270,Customer_C2270,Wholesale,Kolkata,West Bengal,BRONZE
C1296,Customer_C1296,Wholesale,Mumbai,Karnataka,GOLD
C5427,Customer_C5427,Retail,Mumbai,Maharashtra,GOLD
C4520,Customer_C4520,Nan,Kolkata,Delhi,NAN
C1275,Customer_C1275,Retail,Bangalore,Maharashtra,BRONZE
C1680,Customer_C1680,Nan,Bangalore,Delhi,GOLD
C3994,Customer_C3994,Nan,Nan,West Bengal,SILVER
C107,Customer_C107,Retail,Delhi,Delhi,SILVER
C851,Customer_C851,Retail,Mumbai,Karnataka,GOLD
C4448,Customer_C4448,Nan,Kolkata,Delhi,NAN
C4724,Customer_C4724,Nan,Kolkata,Karnataka,SILVER
C2838,Customer_C2838,Wholesale,Mumbai,Maharashtra,NAN
C3276,Customer_C3276,Nan,Bangalore,Karnataka,BRONZE
C2981,Customer_C2981,Nan,Delhi,Delhi,BRONZE
C1756,Customer_C1756,Retail,Delhi,West Bengal,GOLD
C274,Customer_C274,Wholesale,Kolkata,West Bengal,SILVER
C2519,Customer_C2519,Retail,Nan,West Bengal,GOLD
C2257,Customer_C2257,Wholesale,Nan,Karnataka,NAN
C327,Customer_C327,Retail,Nan,Delhi,GOLD
C1654,Customer_C1654,Wholesale,Delhi,Delhi,BRONZE
C1271,Customer_C1271,Wholesale,Bangalore,West Bengal,GOLD
C188,Customer_C188,Nan,Delhi,West Bengal,SILVER
C1943,Customer_C1943,Wholesale,Bangalore,Karnataka,BRONZE
C67,Customer_C67,Nan,Kolkata,Delhi,BRONZE
C1289,Customer_C1289,Wholesale,Bangalore,West Bengal,SILVER
C4823,Customer_C4823,Nan,Kolkata,Karnataka,BRONZE
C428,Customer_C428,Wholesale,Delhi,Delhi,SILVER
C697,Customer_C697,Wholesale,Bangalore,Maharashtra,SILVER
C3925,Customer_C3925,Retail,Mumbai,Karnataka,GOLD
C4986,Customer_C4986,Retail,Bangalore,Delhi,NAN
C5771,Customer_C5771,Wholesale,Mumbai,Karnataka,GOLD
C4072,Customer_C4072,Nan,Nan,West Bengal,BRONZE
C1738,Customer_C1738,Nan,Kolkata,West Bengal,NAN
C660,Customer_C660,Retail,Kolkata,Delhi,SILVER
C4447,Customer_C4447,Wholesale,Kolkata,West Bengal,GOLD
C3195,Customer_C3195,Nan,Bangalore,Maharashtra,BRONZE
C4125,Customer_C4125,Nan,Kolkata,Maharashtra,BRONZE
C566,Customer_C566,Retail,Delhi,Karnataka,SILVER
C1073,Customer_C1073,Wholesale,Bangalore,Karnataka,BRONZE
C638,Customer_C638,Retail,Nan,Delhi,BRONZE
C2733,Customer_C2733,Wholesale,Bangalore,Karnataka,NAN
C1975,Customer_C1975,Retail,Nan,Karnataka,GOLD
C3456,Customer_C3456,Nan,Nan,West Bengal,NAN
C2476,Customer_C2476,Wholesale,Kolkata,Delhi,GOLD
C4255,Customer_C4255,Nan,Delhi,Maharashtra,BRONZE
C4811,Customer_C4811,Nan,Bangalore,Karnataka,NAN
C2398,Customer_C2398,Retail,Bangalore,Maharashtra,GOLD
C4339,Customer_C4339,Wholesale,Mumbai,Delhi,BRONZE
C5590,Customer_C5590,Retail,Nan,Delhi,NAN
C4819,Customer_C4819,Wholesale,Bangalore,Delhi,NAN
C5699,Customer_C5699,Retail,Mumbai,Maharashtra,NAN
C4261,Customer_C4261,Retail,Mumbai,Maharashtra,SILVER
C313,Customer_C313,Wholesale,Kolkata,Delhi,GOLD
C1332,Customer_C1332,Wholesale,Delhi,Delhi,SILVER
C3800,Customer_C3800,Nan,Mumbai,West Bengal,NAN
C33,Customer_C33,Wholesale,Mumbai,West Bengal,NAN
C1185,Customer_C1185,Wholesale,Bangalore,Delhi,GOLD
C1390,Customer_C1390,Nan,Nan,Maharashtra,NAN
C647,Customer_C647,Retail,Kolkata,Maharashtra,GOLD
C4770,Customer_C4770,Nan,Delhi,Karnataka,SILVER
C1,Customer_C1,Retail,Kolkata,Delhi,SILVER
C2065,Customer_C2065,Retail,Bangalore,West Bengal,GOLD
C2374,Customer_C2374,Retail,Nan,Maharashtra,SILVER
C4363,Customer_C4363,Retail,Delhi,Maharashtra,SILVER
C3190,Customer_C3190,Retail,Nan,Karnataka,SILVER
C1685,Customer_C1685,Nan,Delhi,West Bengal,GOLD
C431,Customer_C431,Wholesale,Bangalore,West Bengal,SILVER
C950,Customer_C950,Nan,Bangalore,West Bengal,SILVER
C5209,Customer_C5209,Nan,Bangalore,Delhi,SILVER
C2952,Customer_C2952,Nan,Mumbai,Delhi,SILVER
C1762,Customer_C1762,Wholesale,Delhi,Karnataka,SILVER
C5619,Customer_C5619,Retail,Bangalore,Karnataka,SILVER
C5555,Customer_C5555,Wholesale,Mumbai,Karnataka,SILVER
C4024,Customer_C4024,Retail,Kolkata,Maharashtra,GOLD
C1288,Customer_C1288,Retail,Mumbai,Maharashtra,GOLD
C1137,Customer_C1137,Nan,Delhi,West Bengal,NAN
C3921,Customer_C3921,Wholesale,Mumbai,Delhi,BRONZE
C942,Customer_C942,Retail,Nan,Maharashtra,BRONZE
C3884,Customer_C3884,Wholesale,Bangalore,Karnataka,BRONZE
C2728,Customer_C2728,Nan,Kolkata,Delhi,SILVER
C5356,Customer_C5356,Retail,Delhi,West Bengal,GOLD
C1568,Customer_C1568,Nan,Bangalore,Karnataka,BRONZE
C1642,Customer_C1642,Retail,Delhi,Karnataka,GOLD
C3381,Customer_C3381,Retail,Nan,West Bengal,GOLD
C3142,Customer_C3142,Nan,Delhi,Maharashtra,BRONZE
C5277,Customer_C5277,Retail,Kolkata,Maharashtra,NAN
C2110,Customer_C2110,Nan,Nan,Delhi,SILVER
C4440,Customer_C4440,Wholesale,Mumbai,Maharashtra,NAN
C3633,Customer_C3633,Nan,Mumbai,Karnataka,SILVER
C3240,Customer_C3240,Nan,Nan,West Bengal,NAN
C4824,Customer_C4824,Nan,Mumbai,Maharashtra,BRONZE
C3938,Customer_C3938,Wholesale,Kolkata,West Bengal,GOLD
C5627,Customer_C5627,Retail,Kolkata,Maharashtra,BRONZE
C5838,Customer_C5838,Wholesale,Mumbai,West Bengal,NAN
C989,Customer_C989,Retail,Mumbai,Karnataka,NAN
C3260,Customer_C3260,Retail,Kolkata,West Bengal,NAN
C5990,Customer_C5990,Nan,Nan,West Bengal,SILVER
C284,Customer_C284,Wholesale,Kolkata,West Bengal,NAN
C3532,Customer_C3532,Wholesale,Delhi,West Bengal,SILVER
C1590,Customer_C1590,Nan,Nan,Delhi,SILVER
C2968,Customer_C2968,Nan,Delhi,Maharashtra,NAN
C4029,Customer_C4029,Wholesale,Mumbai,Karnataka,GOLD
C5906,Customer_C5906,Nan,Kolkata,Delhi,SILVER
C5017,Customer_C5017,Wholesale,Kolkata,West Bengal,SILVER
C5177,Customer_C5177,Retail,Bangalore,West Bengal,SILVER
C3211,Customer_C3211,Wholesale,Nan,Maharashtra,BRONZE
