order_id,order_date,customer_id,store_id,region,order_amount,order_status,customer_valid,store_valid,record_status
1,2025-09-04,C2158,S224,East,2475.0,PENDING,True,True,VALID
6,2025-05-21,C1749,S363,North,1044.0,,True,True,VALID
7,2025-07-06,C1777,S263,North,2108.0,,True,True,VALID
10,2025-10-18,C264,S400,West,2492.0,PENDING,True,True,VALID
16,2025-09-14,C2145,S124,East,1654.0,APPROVED,True,True,VALID
17,2025-06-22,C1590,S445,West,1226.0,,True,True,VALID
21,2025-09-08,C2943,S208,East,2975.0,PENDING,True,True,VALID
37,2025-09-20,C352,S159,North,4351.0,APPROVED,True,True,VALID
49,2025-11-11,C426,S338,North,667.0,PENDING,True,True,VALID
51,2025-07-18,C1614,S24,East,4219.0,APPROVED,True,True,VALID
52,2025-04-09,C1428,S425,nan,1120.0,PENDING,True,True,VALID
53,2025-09-15,C1933,S430,nan,2101.0,PENDING,True,True,VALID
57,2025-06-24,C631,S183,West,1088.0,,True,True,VALID
58,2025-10-12,C337,S334,South,758.0,,True,True,VALID
65,2025-04-19,C1804,S102,North,1196.0,APPROVED,True,True,VALID
66,2025-10-14,C1140,S368,North,1248.0,APPROVED,True,True,VALID
73,2025-07-31,C606,S500,East,1138.0,CANCELLED,True,True,VALID
74,2025-12-14,C2145,S370,South,3349.0,,True,True,VALID
78,2025-03-28,C1456,S98,West,2244.0,PENDING,True,True,VALID
81,2025-05-08,C158,S344,East,1836.0,PENDING,True,True,VALID
86,2025-07-12,C2705,S132,West,1476.0,PENDING,True,True,VALID
101,2025-02-11,C1564,S135,East,1637.0,CANCELLED,True,True,VALID
113,2025-11-12,C1383,S133,South,1410.0,APPROVED,True,True,VALID
115,2025-01-03,C2243,S280,West,4118.0,PENDING,True,True,VALID
116,2025-12-24,C1710,S404,nan,3847.0,,True,True,VALID
125,2025-09-12,C2246,S244,South,1064.0,CANCELLED,True,True,VALID
126,2025-06-09,C1005,S52,East,2900.0,PENDING,True,True,VALID
127,2025-02-07,C2651,S232,nan,2264.0,APPROVED,True,True,VALID
132,2025-04-08,C115,S371,West,4173.0,,True,True,VALID
136,2025-11-13,C1164,S204,South,2747.0,,True,True,VALID
152,2025-05-19,C1103,S385,West,3253.0,,True,True,VALID
153,2025-01-21,C2961,S477,West,4239.0,APPROVED,True,True,VALID
158,2025-01-31,C809,S401,South,756.0,PENDING,True,True,VALID
160,2025-11-22,C538,S398,East,4241.0,APPROVED,True,True,VALID
166,2025-04-12,C1969,S374,North,1494.0,PENDING,True,True,VALID
179,2025-03-06,C1651,S36,South,3612.0,CANCELLED,True,True,VALID
189,2025-01-05,C2381,S110,nan,3639.0,,True,True,VALID
191,2025-08-27,C2614,S173,nan,4733.0,APPROVED,True,True,VALID
192,2025-06-29,C1666,S241,North,2559.0,CANCELLED,True,True,VALID
200,2025-11-23,C2075,S418,nan,654.0,,True,True,VALID
201,2025-10-15,C2041,S28,North,3711.0,CANCELLED,True,True,VALID
205,2025-02-16,C852,S452,North,3064.0,PENDING,True,True,VALID
207,2025-09-29,C1915,S79,West,846.0,PENDING,True,True,VALID
211,2025-07-07,C1074,S354,East,563.0,APPROVED,True,True,VALID
213,2025-05-25,C2397,S19,West,3729.0,CANCELLED,True,True,VALID
221,2025-10-10,C2008,S237,North,2445.0,,True,True,VALID
223,2025-10-20,C370,S133,East,2279.0,,True,True,VALID
226,2025-04-28,C2587,S60,North,1021.0,PENDING,True,True,VALID
228,2025-03-04,C1936,S77,East,1062.0,APPROVED,True,True,VALID
238,2025-07-15,C159,S105,nan,3550.0,,True,True,VALID
241,2025-01-12,C791,S239,South,1776.0,PENDING,True,True,VALID
246,2025-05-26,C131,S176,East,1373.0,PENDING,True,True,VALID
247,2025-09-27,C1186,S179,West,1004.0,PENDING,True,True,VALID
252,2025-02-06,C321,S65,nan,699.0,APPROVED,True,True,VALID
253,2025-04-29,C2341,S27,West,1012.0,CANCELLED,True,True,VALID
255,2025-11-30,C142,S45,North,2535.0,CANCELLED,True,True,VALID
257,2025-08-04,C2475,S417,North,4156.0,APPROVED,True,True,VALID
263,2025-01-20,C1422,S478,East,3305.0,APPROVED,True,True,VALID
276,2025-04-19,C1608,S7,nan,2389.0,CANCELLED,True,True,VALID
278,2025-06-06,C318,S156,North,3042.0,PENDING,True,True,VALID
282,2025-05-27,C2760,S25,East,4577.0,PENDING,True,True,VALID
292,2025-10-02,C2833,S322,West,4357.0,PENDING,True,True,VALID
293,2025-06-14,C911,S60,East,4872.0,CANCELLED,True,True,VALID
298,2025-10-28,C2776,S11,South,1068.0,PENDING,True,True,VALID
302,2025-04-20,C1112,S137,nan,2492.0,CANCELLED,True,True,VALID
315,2025-04-26,C2488,S257,East,1010.0,CANCELLED,True,True,VALID
326,2025-08-18,C2366,S252,South,3089.0,,True,True,VALID
327,2025-02-06,C787,S231,North,3026.0,PENDING,True,True,VALID
329,2025-11-23,C525,S330,West,2115.0,,True,True,VALID
331,2025-10-19,C1673,S157,North,1586.0,APPROVED,True,True,VALID
336,2025-10-26,C2293,S425,South,4734.0,APPROVED,True,True,VALID
350,2025-09-04,C668,S397,East,2526.0,,True,True,VALID
351,2025-02-13,C2246,S451,West,4577.0,PENDING,True,True,VALID
352,2025-05-20,C601,S377,South,639.0,,True,True,VALID
353,2025-03-20,C1351,S198,West,936.0,PENDING,True,True,VALID
359,2025-03-10,C2062,S42,South,3853.0,APPROVED,True,True,VALID
369,2025-05-07,C376,S298,North,1073.0,APPROVED,True,True,VALID
370,2025-09-03,C1937,S127,West,2158.0,PENDING,True,True,VALID
372,2025-07-24,C2156,S385,West,4491.0,PENDING,True,True,VALID
379,2025-12-16,C1433,S326,nan,1021.0,PENDING,True,True,VALID
380,2025-12-30,C1774,S53,South,2212.0,APPROVED,True,True,VALID
383,2025-03-08,C903,S455,West,2843.0,APPROVED,True,True,VALID
387,2025-07-01,C1634,S35,North,4183.0,APPROVED,True,True,VALID
389,2025-04-25,C881,S247,North,2918.0,,True,True,VALID
391,2025-06-06,C993,S122,South,4865.0,,True,True,VALID
400,2025-01-26,C58,S446,South,4370.0,PENDING,True,True,VALID
401,2025-03-23,C2340,S328,South,2679.0,CANCELLED,True,True,VALID
406,2025-03-14,C1674,S264,West,1929.0,PENDING,True,True,VALID
412,2025-10-22,C2823,S414,South,1736.0,APPROVED,True,True,VALID
416,2025-09-12,C2668,S79,nan,854.0,,True,True,VALID
418,2025-08-31,C2682,S266,North,2895.0,PENDING,True,True,VALID
421,2025-02-07,C103,S234,nan,3442.0,APPROVED,True,True,VALID
424,2025-02-09,C18,S148,nan,1305.0,PENDING,True,True,VALID
430,2025-03-01,C2857,S296,South,3880.0,PENDING,True,True,VALID
432,2025-10-28,C1754,S462,East,1031.0,CANCELLED,True,True,VALID
434,2025-02-14,C2086,S382,West,3908.0,APPROVED,True,True,VALID
436,2025-11-23,C1139,S23,nan,1177.0,PENDING,True,True,VALID
440,2025-06-16,C799,S280,nan,4256.0,APPROVED,True,True,VALID
446,2025-03-16,C2461,S385,North,2817.0,,True,True,VALID
455,2025-08-18,C2582,S421,West,3204.0,CANCELLED,True,True,VALID
458,2025-06-08,C263,S319,North,1297.0,,True,True,VALID
485,2025-11-21,C168,S214,North,1564.0,PENDING,True,True,VALID
490,2025-09-12,C581,S369,South,3056.0,PENDING,True,True,VALID
491,2025-09-21,C2600,S238,nan,4250.0,APPROVED,True,True,VALID
496,2025-01-06,C2923,S392,West,2442.0,PENDING,True,True,VALID
497,2025-02-08,C1095,S97,nan,2063.0,PENDING,True,True,VALID
498,2025-07-18,C1727,S294,North,1066.0,PENDING,True,True,VALID
507,2025-08-13,C1345,S301,South,4262.0,APPROVED,True,True,VALID
509,2025-03-31,C1412,S294,South,2613.0,APPROVED,True,True,VALID
517,2025-08-03,C2223,S291,North,4107.0,PENDING,True,True,VALID
520,2025-06-23,C1671,S492,West,3684.0,PENDING,True,True,VALID
521,2025-12-06,C2567,S107,West,2175.0,APPROVED,True,True,VALID
532,2025-09-10,C1012,S492,East,1906.0,PENDING,True,True,VALID
537,2025-12-30,C251,S147,East,570.0,PENDING,True,True,VALID
552,2025-06-20,C329,S481,South,1908.0,PENDING,True,True,VALID
555,2025-06-06,C623,S390,nan,660.0,APPROVED,True,True,VALID
560,2025-05-27,C2716,S127,East,4208.0,APPROVED,True,True,VALID
562,2025-12-07,C2581,S109,South,2969.0,APPROVED,True,True,VALID
563,2025-06-11,C1332,S225,North,1029.0,CANCELLED,True,True,VALID
564,2025-08-31,C2286,S153,nan,2678.0,CANCELLED,True,True,VALID
568,2025-11-30,C780,S76,North,3600.0,PENDING,True,True,VALID
571,2025-08-13,C626,S373,West,4652.0,,True,True,VALID
583,2025-09-30,C120,S132,South,2894.0,PENDING,True,True,VALID
591,2025-02-14,C2451,S348,West,1079.0,,True,True,VALID
597,2025-04-20,C1850,S116,East,4037.0,APPROVED,True,True,VALID
605,2025-02-13,C890,S210,East,700.0,PENDING,True,True,VALID
614,2025-05-09,C1634,S448,West,3586.0,CANCELLED,True,True,VALID
