payment_id,order_id,payment_method,payment_status,payment_amount,payment_date
P2,979,CARD,FAILED,756.0,2025-12-22
P3,6893,UPI,SUCCESS,702.0,2026-01-13
P9,6718,UPI,FAILED,4904.0,2025-12-25
P11,6769,CARD,SUCCESS,3617.0,2026-01-10
P12,8516,COD,FAILED,2360.0,2025-12-18
P13,2656,COD,FAILED,1085.0,2025-12-31
P14,3921,UPI,FAILED,705.0,2026-01-12
P18,4430,CARD,FAILED,2726.0,2026-01-10
P22,1947,UPI,FAILED,2511.0,2026-01-08
P24,4219,COD,SUCCESS,3920.0,2026-01-13
P28,7572,CARD,FAILED,3385.0,2025-12-30
P31,6517,COD,SUCCESS,4172.0,2026-01-05
P34,5086,UPI,FAILED,1621.0,2026-01-09
P35,9433,UPI,SUCCESS,2638.0,2026-01-13
P36,6200,COD,SUCCESS,2965.0,2025-12-29
P39,9840,COD,FAILED,1403.0,2026-01-03
P43,8715,COD,SUCCESS,1473.0,2025-12-15
P45,63,CARD,FAILED,2244.0,2025-12-30
P46,8378,UPI,FAILED,2760.0,2025-12-16
P48,8758,UPI,FAILED,3221.0,2025-12-15
P50,3387,CARD,SUCCESS,4518.0,2025-12-21
P56,282,UPI,SUCCESS,2340.0,2025-12-20
P57,8999,CARD,FAILED,3380.0,2026-01-03
P59,9108,UPI,SUCCESS,3784.0,2025-12-25
P62,3757,CARD,SUCCESS,3405.0,2026-01-08
P68,4483,UPI,FAILED,2468.0,2026-01-06
P71,3396,COD,FAILED,690.0,2026-01-03
P72,295,COD,SUCCESS,3750.0,2026-01-10
P75,6810,CARD,SUCCESS,4360.0,2026-01-10
P76,4882,COD,FAILED,1961.0,2026-01-05
P78,6424,CARD,SUCCESS,4641.0,2026-01-02
P79,2771,UPI,FAILED,3411.0,2025-12-21
P82,6723,UPI,FAILED,4125.0,2026-01-04
P84,3295,COD,SUCCESS,1033.0,2025-12-23
P85,2670,UPI,FAILED,4373.0,2025-12-21
P86,7147,CARD,FAILED,3512.0,2026-01-02
P91,3110,COD,FAILED,2349.0,2026-01-06
P92,9566,CARD,SUCCESS,4533.0,2025-12-18
P94,7896,CARD,FAILED,4576.0,2025-12-17
P95,8313,COD,SUCCESS,3877.0,2026-01-04
P96,3493,UPI,FAILED,645.0,2026-01-09
P100,6038,CARD,FAILED,4163.0,2025-12-14
P102,8441,UPI,FAILED,2597.0,2026-01-03
P105,3068,COD,FAILED,1016.0,2026-01-06
P106,3863,UPI,SUCCESS,2043.0,2026-01-03
