payment_id,order_id,payment_method,payment_status,payment_amount,payment_date,order_amount,order_status,_merge,order_exists,amount_match,payment_success,record_status
P1,5675,CARD,SUCCESS,,2026-01-09,,,left_only,False,False,True,INVALID
P2,979,CARD,FAILED,756.0,2025-12-22,,,left_only,False,False,False,INVALID
P3,6893,UPI,SUCCESS,702.0,2026-01-13,,,left_only,False,False,True,INVALID
P4,1012,UPI,SUCCESS,,2025-12-20,,,left_only,False,False,True,INVALID
P5,7657,COD,SUCCESS,-100.0,2026-01-02,,,left_only,False,False,True,INVALID
P6,1007,COD,SUCCESS,,2026-01-12,,,left_only,False,False,True,INVALID
P7,107,CARD,SUCCESS,-100.0,2025-12-29,,,left_only,False,False,True,INVALID
P8,2030,CARD,SUCCESS,-100.0,2026-01-11,,,left_only,False,False,True,INVALID
P9,6718,UPI,FAILED,4904.0,2025-12-25,,,left_only,False,False,False,INVALID
P10,5402,UPI,FAILED,,2026-01-11,,,left_only,False,False,False,INVALID
P11,6769,CARD,SUCCESS,3617.0,2026-01-10,,,left_only,False,False,True,INVALID
P12,8516,COD,FAILED,2360.0,2025-12-18,,,left_only,False,False,False,INVALID
P13,2656,COD,FAILED,1085.0,2025-12-31,,,left_only,False,False,False,INVALID
P14,3921,UPI,FAILED,705.0,2026-01-12,,,left_only,False,False,False,INVALID
P15,9367,UPI,SUCCESS,,2026-01-09,,,left_only,False,False,True,INVALID
P16,1364,UPI,SUCCESS,,2025-12-22,,,left_only,False,False,True,INVALID
P17,9990,UPI,FAILED,-100.0,2026-01-03,,,left_only,False,False,False,INVALID
P18,4430,CARD,FAILED,2726.0,2026-01-10,,,left_only,False,False,False,INVALID
P19,6627,COD,FAILED,-100.0,2025-12-15,1503.0,APPROVED,both,True,False,False,INVALID
P20,7794,COD,SUCCESS,-100.0,2026-01-09,,,left_only,False,False,True,INVALID
P21,6001,COD,FAILED,,2025-12-29,,,left_only,False,False,False,INVALID
P22,1947,UPI,FAILED,2511.0,2026-01-08,,,left_only,False,False,False,INVALID
P23,3361,CARD,SUCCESS,,2025-12-25,,,left_only,False,False,True,INVALID
P24,4219,COD,SUCCESS,3920.0,2026-01-13,,,left_only,False,False,True,INVALID
P25,4354,COD,FAILED,,2025-12-29,1831.0,PENDING,both,True,False,False,INVALID
P26,595,COD,SUCCESS,-100.0,2025-12-31,,,left_only,False,False,True,INVALID
P27,247,CARD,SUCCESS,-100.0,2025-12-30,1004.0,PENDING,both,True,False,True,INVALID
P28,7572,CARD,FAILED,3385.0,2025-12-30,,,left_only,False,False,False,INVALID
P29,956,COD,FAILED,,2025-12-22,,,left_only,False,False,False,INVALID
P30,8405,UPI,FAILED,,2025-12-28,,,left_only,False,False,False,INVALID
P31,6517,COD,SUCCESS,4172.0,2026-01-05,,,left_only,False,False,True,INVALID
P32,2923,COD,SUCCESS,-100.0,2025-12-26,,,left_only,False,False,True,INVALID
P33,2063,COD,SUCCESS,-100.0,2025-12-23,,,left_only,False,False,True,INVALID
P34,5086,UPI,FAILED,1621.0,2026-01-09,,,left_only,False,False,False,INVALID
P35,9433,UPI,SUCCESS,2638.0,2026-01-13,,,left_only,False,False,True,INVALID
P36,6200,COD,SUCCESS,2965.0,2025-12-29,2738.0,CANCELLED,both,True,False,True,INVALID
P37,7212,CARD,FAILED,-100.0,2025-12-22,,,left_only,False,False,False,INVALID
P38,9050,CARD,FAILED,-100.0,2026-01-12,,,left_only,False,False,False,INVALID
P39,9840,COD,FAILED,1403.0,2026-01-03,,,left_only,False,False,False,INVALID
P40,2981,COD,SUCCESS,,2026-01-11,2803.0,APPROVED,both,True,False,True,INVALID
P41,360,CARD,SUCCESS,-100.0,2025-12-24,,,left_only,False,False,True,INVALID
P42,4275,UPI,FAILED,-100.0,2026-01-12,,,left_only,False,False,False,INVALID
P43,8715,COD,SUCCESS,1473.0,2025-12-15,,,left_only,False,False,True,INVALID
P44,438,COD,FAILED,-100.0,2026-01-11,,,left_only,False,False,False,INVALID
P45,63,CARD,FAILED,2244.0,2025-12-30,,,left_only,False,False,False,INVALID
P46,8378,UPI,FAILED,2760.0,2025-12-16,,,left_only,False,False,False,INVALID
P47,8780,CARD,FAILED,-100.0,2025-12-24,2261.0,,both,True,False,False,INVALID
P48,8758,UPI,FAILED,3221.0,2025-12-15,,,left_only,False,False,False,INVALID
P49,1181,COD,SUCCESS,,2025-12-27,,,left_only,False,False,True,INVALID
P50,3387,CARD,SUCCESS,4518.0,2025-12-21,,,left_only,False,False,True,INVALID
P51,6891,CARD,FAILED,,2026-01-06,,,left_only,False,False,False,INVALID
P52,5899,COD,FAILED,-100.0,2025-12-28,,,left_only,False,False,False,INVALID
P53,9926,UPI,SUCCESS,-100.0,2025-12-14,,,left_only,False,False,True,INVALID
P54,5490,UPI,SUCCESS,,2026-01-01,,,left_only,False,False,True,INVALID
P55,3332,UPI,SUCCESS,-100.0,2025-12-28,,,left_only,False,False,True,INVALID
P56,282,UPI,SUCCESS,2340.0,2025-12-20,4577.0,PENDING,both,True,False,True,INVALID
P57,8999,CARD,FAILED,3380.0,2026-01-03,3250.0,PENDING,both,True,False,False,INVALID
P58,1619,CARD,SUCCESS,,2025-12-25,,,left_only,False,False,True,INVALID
P59,9108,UPI,SUCCESS,3784.0,2025-12-25,,,left_only,False,False,True,INVALID
P60,6829,UPI,SUCCESS,,2026-01-03,,,left_only,False,False,True,INVALID
P61,3537,UPI,FAILED,-100.0,2025-12-19,,,left_only,False,False,False,INVALID
P62,3757,CARD,SUCCESS,3405.0,2026-01-08,,,left_only,False,False,True,INVALID
P63,153,CARD,SUCCESS,,2025-12-31,4239.0,APPROVED,both,True,False,True,INVALID
P64,6651,CARD,SUCCESS,,2025-12-30,,,left_only,False,False,True,INVALID
P65,1315,COD,SUCCESS,,2026-01-13,,,left_only,False,False,True,INVALID
P66,6984,UPI,SUCCESS,-100.0,2026-01-01,2344.0,PENDING,both,True,False,True,INVALID
P67,4952,COD,SUCCESS,,2026-01-05,,,left_only,False,False,True,INVALID
P68,4483,UPI,FAILED,2468.0,2026-01-06,,,left_only,False,False,False,INVALID
P69,9916,UPI,FAILED,-100.0,2025-12-19,1378.0,APPROVED,both,True,False,False,INVALID
P70,7874,COD,FAILED,,2025-12-15,,,left_only,False,False,False,INVALID
P71,3396,COD,FAILED,690.0,2026-01-03,,,left_only,False,False,False,INVALID
P72,295,COD,SUCCESS,3750.0,2026-01-10,,,left_only,False,False,True,INVALID
P73,264,UPI,FAILED,,2026-01-06,,,left_only,False,False,False,INVALID
P74,7151,CARD,FAILED,,2025-12-17,1717.0,PENDING,both,True,False,False,INVALID
P75,6810,CARD,SUCCESS,4360.0,2026-01-10,,,left_only,False,False,True,INVALID
P76,4882,COD,FAILED,1961.0,2026-01-05,,,left_only,False,False,False,INVALID
P77,3560,COD,FAILED,,2025-12-23,,,left_only,False,False,False,INVALID
P78,6424,CARD,SUCCESS,4641.0,2026-01-02,,,left_only,False,False,True,INVALID
P79,2771,UPI,FAILED,3411.0,2025-12-21,,,left_only,False,False,False,INVALID
P80,8866,UPI,SUCCESS,-100.0,2025-12-30,,,left_only,False,False,True,INVALID
P81,4355,UPI,FAILED,-100.0,2026-01-09,,,left_only,False,False,False,INVALID
P82,6723,UPI,FAILED,4125.0,2026-01-04,,,left_only,False,False,False,INVALID
P83,3992,UPI,FAILED,,2025-12-16,3117.0,PENDING,both,True,False,False,INVALID
P84,3295,COD,SUCCESS,1033.0,2025-12-23,,,left_only,False,False,True,INVALID
P85,2670,UPI,FAILED,4373.0,2025-12-21,,,left_only,False,False,False,INVALID
P86,7147,CARD,FAILED,3512.0,2026-01-02,,,left_only,False,False,False,INVALID
P87,9519,UPI,SUCCESS,-100.0,2026-01-01,,,left_only,False,False,True,INVALID
P88,223,UPI,SUCCESS,-100.0,2026-01-13,2279.0,,both,True,False,True,INVALID
P89,1809,CARD,FAILED,-100.0,2026-01-07,,,left_only,False,False,False,INVALID
P90,3968,UPI,FAILED,,2026-01-10,,,left_only,False,False,False,INVALID
P91,3110,COD,FAILED,2349.0,2026-01-06,,,left_only,False,False,False,INVALID
P92,9566,CARD,SUCCESS,4533.0,2025-12-18,,,left_only,False,False,True,INVALID
P93,2032,CARD,SUCCESS,,2025-12-31,,,left_only,False,False,True,INVALID
P94,7896,CARD,FAILED,4576.0,2025-12-17,,,left_only,False,False,False,INVALID
P95,8313,COD,SUCCESS,3877.0,2026-01-04,,,left_only,False,False,True,INVALID
P96,3493,UPI,FAILED,645.0,2026-01-09,,,left_only,False,False,False,INVALID
P97,9414,COD,SUCCESS,-100.0,2025-12-15,,,left_only,False,False,True,INVALID
P98,7093,COD,FAILED,,2025-12-23,,,left_only,False,False,False,INVALID
