customer_id,customer_name,customer_type,city,state,loyalty_tier
C3875,Customer_C3875,Wholesale,Mumbai,Karnataka,Silver
C2124,Customer_C2124,,Bangalore,Maharashtra,Gold
C2268,Customer_C2268,Wholesale,Kolkata,Maharashtra,silver
C1717,Customer_C1717,Wholesale,,West Bengal,Bronze
C3873,Customer_C3873,,Bangalore,Karnataka,GOLD
C628,Customer_C628,Retail,,Delhi,silver
C4718,Customer_C4718,,Mumbai,Maharashtra,Gold
C3793,Customer_C3793,,,Karnataka,Silver
C1878,Customer_C1878,,Delhi,Maharashtra,Gold
C2164,Customer_C2164,Wholesale,,Karnataka,GOLD
C1424,Customer_C1424,Retail,Delhi,Karnataka,silver
C358,Customer_C358,Retail,Mumbai,Maharashtra,silver
C772,Customer_C772,Wholesale,,Maharashtra,silver
C2143,Customer_C2143,Wholesale,,Karnataka,Gold
C687,Customer_C687,,,Karnataka,silver
C3930,Customer_C3930,Retail,Kolkata,Delhi,Silver
C5491,Customer_C5491,Retail,Delhi,Delhi,Silver
C4691,Customer_C4691,,Bangalore,Karnataka,Silver
C43,Customer_C43,Wholesale,Kolkata,Delhi,Bronze
C1329,Customer_C1329,,Delhi,Karnataka,
C3406,Customer_C3406,Retail,Delhi,Karnataka,GOLD
C2375,Customer_C2375,Retail,Mumbai,Maharashtra,GOLD
C5809,Customer_C5809,Retail,Kolkata,Karnataka,GOLD
C4613,Customer_C4613,Retail,Kolkata,Karnataka,Gold
C347,Customer_C347,,Mumbai,Maharashtra,Silver
C5158,Customer_C5158,Wholesale,,Karnataka,Silver
C4746,Customer_C4746,Wholesale,Delhi,Delhi,GOLD
C4834,Customer_C4834,,Bangalore,Maharashtra,
C5464,Customer_C5464,,Bangalore,Delhi,GOLD
C2748,Customer_C2748,Wholesale,Kolkata,Delhi,
C4877,Customer_C4877,Retail,,Karnataka,GOLD
C1515,Customer_C1515,Retail,Delhi,West Bengal,silver
C1320,Customer_C1320,Retail,,West Bengal,
C4854,Customer_C4854,,Bangalore,Karnataka,GOLD
C256,Customer_C256,Wholesale,,Delhi,Bronze
C5105,Customer_C5105,Retail,Kolkata,Maharashtra,Silver
C716,Customer_C716,Wholesale,,Maharashtra,Silver
C3690,Customer_C3690,,Bangalore,Karnataka,silver
C307,Customer_C307,Wholesale,Bangalore,West Bengal,Silver
C581,Customer_C581,Retail,Mumbai,Maharashtra,silver
C1775,Customer_C1775,Wholesale,Delhi,West Bengal,
C1028,Customer_C1028,Wholesale,Kolkata,Maharashtra,Bronze
C1471,Customer_C1471,Wholesale,Bangalore,Maharashtra,Gold
C5570,Customer_C5570,Wholesale,Delhi,Karnataka,Bronze
C3519,Customer_C3519,Wholesale,Delhi,Karnataka,Gold
C1678,Customer_C1678,,Kolkata,Delhi,GOLD
C3801,Customer_C3801,Retail,,Delhi,GOLD
C1132,Customer_C1132,,Kolkata,West Bengal,silver
C1227,Customer_C1227,,Delhi,West Bengal,Silver
C3448,Customer_C3448,Retail,Kolkata,Karnataka,silver
C3064,Customer_C3064,Retail,Delhi,West Bengal,
C1376,Customer_C1376,,Kolkata,Karnataka,Gold
C2198,Customer_C2198,Retail,Delhi,Maharashtra,Silver
C3795,Customer_C3795,Wholesale,Mumbai,Maharashtra,Bronze
C5980,Customer_C5980,Retail,Kolkata,Karnataka,Bronze
C616,Customer_C616,Retail,Kolkata,Delhi,
C2982,Customer_C2982,,Mumbai,Maharashtra,GOLD
C4506,Customer_C4506,Retail,Bangalore,Karnataka,Bronze
C2753,Customer_C2753,Retail,Delhi,Maharashtra,Gold
C1867,Customer_C1867,,,West Bengal,Gold
C442,Customer_C442,Retail,Mumbai,West Bengal,GOLD
C4140,Customer_C4140,Retail,Bangalore,Karnataka,Silver
C4076,Customer_C4076,Retail,Delhi,West Bengal,Gold
C3358,Customer_C3358,,Delhi,Maharashtra,
C4206,Customer_C4206,,Delhi,Maharashtra,Silver
C989,Customer_C989,Wholesale,,Karnataka,Bronze
C3204,Customer_C3204,Retail,Mumbai,Karnataka,Gold
C439,Customer_C439,,Bangalore,Karnataka,Gold
C1806,Customer_C1806,,Delhi,Delhi,Bronze
C2644,Customer_C2644,Retail,Kolkata,Karnataka,Silver
C1805,Customer_C1805,Wholesale,Kolkata,West Bengal,Silver
C5043,Customer_C5043,Wholesale,Bangalore,Karnataka,silver
C4707,Customer_C4707,Retail,Kolkata,Maharashtra,
C4325,Customer_C4325,Retail,,Maharashtra,GOLD
C2551,Customer_C2551,,Delhi,Delhi,silver
C2562,Customer_C2562,Wholesale,Mumbai,Karnataka,Silver
