order_id,order_date,customer_id,store_id,region,order_amount,order_status
1,2025-09-04,C2158,S224,East,2475.0,PENDING
2,2025-11-07,C2178,S86,North,,Pending
2,2025-06-03,C1294,S43,West,1746.0,PENDING
4,2025-11-29,C2887,S266,,-100.0,Cancelled
5,2025-04-16,C1975,S472,West,,PENDING
6,2025-05-21,C1749,S363,North,1044.0,
7,2025-07-06,C1777,S263,North,2108.0,
8,2025-08-23,C2231,S118,North,,approved
9,2025-01-14,C2532,S145,South,-100.0,PENDING
10,2025-10-18,C264,S400,West,2492.0,Pending
11,2025-05-23,C2908,S238,East,2292.0,Cancelled
12,2025-05-03,C1309,S240,East,2502.0,approved
13,2025-11-26,C346,S214,South,-100.0,PENDING
13,2025-08-13,C658,S424,West,-100.0,
15,2025-06-26,C420,S222,West,1141.0,approved
16,2025-09-14,C2145,S124,East,1654.0,Approved
17,2025-06-22,C1590,S445,West,1226.0,
18,2025-08-05,C1019,S377,,1446.0,PENDING
19,2025-12-20,C1733,S287,North,-100.0,
20,2025-05-17,C748,S194,,-100.0,Cancelled
21,2025-09-08,C2943,S208,East,2975.0,PENDING
22,2025-07-24,C783,S529,North,996.0,approved
23,2025-05-19,C1389,S423,West,,
24,2025-11-22,C738,S117,South,,
25,2025-06-30,C853,S582,North,1902.0,PENDING
26,invalid_date,C1038,S502,North,,approved
27,2025-03-31,C1801,S352,,-100.0,PENDING
28,2025-01-01,C1070,S468,,,
29,2025-06-19,C206,S543,West,-100.0,PENDING
30,2025-03-27,C2871,S446,South,-100.0,Approved
31,2025-10-10,C1309,S219,East,,approved
32,2025-12-25,C570,S336,South,-100.0,approved
32,2025-03-02,C2197,S296,South,,PENDING
34,2025-01-31,C935,S271,East,,PENDING
35,2025-09-10,C823,S579,,2004.0,
36,2025-01-30,C1058,S116,West,,PENDING
37,2025-09-20,C352,S159,North,4351.0,Approved
38,2025-02-20,C770,S358,East,,approved
39,2025-02-14,C1752,S143,,-100.0,approved
40,2025-05-12,C2572,S596,North,,Pending
41,2025-06-16,C1094,S259,,,Pending
42,2025-12-04,C1902,S323,East,,
43,2025-04-07,C715,S363,East,-100.0,PENDING
44,2025-05-14,C1679,S287,North,-100.0,PENDING
45,invalid_date,C2034,S391,West,-100.0,
46,2025-08-13,C2624,S334,North,,Cancelled
47,2025-01-28,C1361,S276,West,-100.0,PENDING
48,2025-04-24,C55,S589,,,PENDING
49,2025-11-11,C426,S338,North,667.0,Pending
50,2025-01-13,C280,S578,East,-100.0,Cancelled
51,2025-07-18,C1614,S24,East,4219.0,approved
52,2025-04-09,C1428,S425,,1120.0,Pending
53,2025-09-15,C1933,S430,,2101.0,Pending
54,2025-10-18,C1528,S78,,,PENDING
55,2025-08-08,C1708,S106,East,-100.0,approved
56,2025-08-30,C1739,S303,,-100.0,Pending
57,2025-06-24,C631,S183,West,1088.0,
58,2025-10-12,C337,S334,South,758.0,
59,2025-09-27,C371,S213,South,,
60,2025-06-28,C2579,S446,,,Approved
61,2025-08-23,C1648,S63,,,Pending
62,2025-01-03,C505,S581,North,,PENDING
63,2025-05-29,C2709,S448,,,Cancelled
64,2025-08-21,C987,S381,West,,PENDING
65,2025-04-19,C1804,S102,North,1196.0,Approved
66,2025-10-14,C1140,S368,North,1248.0,Approved
67,2025-10-03,C1201,S371,,,Cancelled
68,2025-10-08,C2135,S452,North,-100.0,PENDING
69,2025-04-11,C1271,S194,West,-100.0,approved
70,2025-02-24,C1152,S261,East,1821.0,PENDING
71,2025-02-22,C1919,S492,East,1991.0,approved
72,2025-04-13,C2959,S478,North,-100.0,Pending
73,2025-07-31,C606,S500,East,1138.0,Cancelled
74,2025-12-14,C2145,S370,South,3349.0,
75,2025-01-14,C1501,S532,,-100.0,
76,invalid_date,C110,S78,North,-100.0,
77,2025-09-18,C1326,S245,West,-100.0,
78,2025-03-28,C1456,S98,West,2244.0,Pending
79,2025-03-07,C1813,S151,East,,Cancelled
80,2025-04-27,C1536,S458,North,-100.0,Pending
81,2025-05-08,C158,S344,East,1836.0,PENDING
82,2025-04-20,C789,S140,West,,PENDING
83,2025-09-05,C1572,S254,North,-100.0,approved
84,2025-08-31,C2599,S484,North,,Cancelled
85,2025-03-16,C872,S529,East,4426.0,Approved
86,2025-07-12,C2705,S132,West,1476.0,Pending
87,2025-05-14,C2298,S438,,,PENDING
88,2025-05-20,C486,S483,West,,Cancelled
89,2025-12-20,C1865,S363,East,,approved
90,2025-04-06,C2511,S182,,,approved
91,2025-06-25,C1568,S316,,,
92,2026-01-01,C866,S444,South,,
93,2025-10-28,C1603,S76,,,Cancelled
94,2025-03-01,C857,S459,West,-100.0,PENDING
95,2025-03-01,C2405,S519,South,-100.0,
96,2025-05-27,C228,S555,North,1661.0,PENDING
97,2025-01-22,C92,S599,North,2466.0,approved
98,2025-12-03,C2918,S443,West,-100.0,Cancelled
99,2025-06-22,C349,S239,West,-100.0,Pending
100,2025-08-20,C54,S391,North,,Approved
101,2025-02-11,C1564,S135,East,1637.0,Cancelled
102,invalid_date,C2039,S463,West,3880.0,PENDING
103,2025-08-29,C972,S397,,-100.0,Approved
104,2025-07-28,C1553,S180,,-100.0,approved
105,2025-07-31,C1583,S545,South,,Cancelled
106,2025-05-11,C1374,S71,South,,approved
107,2025-08-19,C1651,S457,South,,Approved
108,2025-01-02,C1125,S482,North,,approved
109,2025-05-31,C687,S529,,,approved
110,2025-04-23,C2764,S108,East,,Approved
111,2025-05-10,C2192,S250,West,-100.0,Cancelled
112,2025-01-16,C1836,S402,,,
113,2025-11-12,C1383,S133,South,1410.0,approved
114,2025-05-23,C2165,S511,North,,Approved
115,2025-01-03,C2243,S280,West,4118.0,Pending
116,2025-05-31,C2763,S392,South,-100.0,Approved
116,2025-12-24,C1710,S404,,3847.0,
118,2025-02-27,C670,S245,North,,PENDING
119,2025-01-10,C756,S167,,,
120,2025-02-01,C755,S40,South,,approved
121,2025-01-14,C996,S593,West,3204.0,approved
122,2025-07-25,C1513,S7,West,,Pending
123,invalid_date,C115,S380,,-100.0,
124,2025-01-05,C1827,S301,South,-100.0,PENDING
125,2025-09-12,C2246,S244,South,1064.0,Cancelled
126,2025-06-09,C1005,S52,East,2900.0,PENDING
127,2025-02-07,C2651,S232,,2264.0,Approved
128,2025-02-12,C911,S52,East,,Cancelled
129,2025-03-20,C2674,S258,South,4916.0,Pending
130,invalid_date,C1393,S271,North,3865.0,Cancelled
131,2025-02-24,C2104,S96,North,-100.0,PENDING
132,2025-04-08,C115,S371,West,4173.0,
133,2025-12-19,C1795,S461,West,-100.0,Approved
134,2025-08-25,C2532,S280,East,,PENDING
