store_id,store_type,region,manager_id
S1,,North,M25
S2,Online,East,M7
S3,Physical,West,M19
S4,online,North,M38
S5,Physical,East,M45
S6,online,East,M9
S7,,South,M39
S8,,West,M16
S9,Online,East,M27
S10,,East,M7
S11,Online,West,M26
S12,Physical,East,M49
S13,online,South,M34
S14,Online,,M31
S15,Physical,,M3
S16,online,West,M3
S17,online,North,M36
S18,,North,M21
S19,Physical,East,M34
S20,,West,M3
S21,online,,M28
S22,Physical,North,M38
S23,online,East,M31
S24,online,North,M29
S25,Physical,,M49
S26,Physical,West,M45
S27,Online,East,M28
S28,online,North,M17
S29,online,,M43
S30,Online,North,M21
S31,,South,M7
S32,online,West,M11
S33,online,West,M44
S34,online,West,M23
S35,Online,North,M49
S36,online,East,M8
S37,Physical,West,M19
S38,Online,South,M50
S39,Physical,South,M18
S40,,East,M31
S41,Physical,East,M11
S42,Online,South,M50
S43,Physical,East,M42
S44,Online,North,M48
S45,,,M43
S46,,West,M3
S47,Online,East,M13
S48,,West,M21
S49,Online,North,M20
S50,Online,South,M48
S51,online,West,M45
S52,,West,M23
S53,,East,M10
S54,Online,South,M26
S55,Physical,West,M1
S56,Online,East,M12
S57,Online,West,M47
S58,,East,M10
S59,Physical,South,M35
S60,online,North,M24
S61,online,North,M41
S62,Online,,M15
S63,,West,M43
S64,,,M12
S65,Physical,,M19
S66,Online,North,M23
S67,Physical,East,M30
S68,online,South,M38
S69,,,M27
S70,,South,M17
S71,online,,M2
S72,Physical,South,M9
S73,online,South,M22
S74,Physical,South,M7
S75,online,West,M40
S76,Online,West,M17
S77,Online,North,M18
S78,online,South,M16
S79,Physical,West,M17
S80,Online,North,M3
S81,online,West,M49
S82,Physical,West,M44
S83,Online,West,M48
S84,Physical,North,M13
S85,Physical,West,M26
S86,Online,North,M19
S87,Physical,South,M17
S88,Online,West,M47
S89,online,,M8
S90,Online,East,M50
S91,online,North,M8
S92,online,West,M15
S93,online,West,M25
S94,Online,South,M33
S95,Online,,M32
S96,online,,M19
S97,online,North,M37
S98,Online,,M44
S99,online,North,M20
S100,Physical,West,M25
S101,Physical,West,M22
S102,,South,M41
S103,online,North,M4
S104,online,North,M3
S105,,West,M6
S106,,North,M44
S107,Physical,South,M2
S108,Online,,M1
S109,Physical,East,M9
S110,online,East,M37
S111,Online,West,M21
S112,Online,West,M21
S113,Online,West,M37
S114,Online,East,M22
S115,Physical,West,M21
S116,Online,East,M14
S117,Physical,West,M23
S118,Online,,M24
S119,online,West,M45
S120,Physical,,M45
S121,Online,East,M18
S122,online,,M29
S123,,,M37
S124,Online,North,M40
S125,online,North,M34
S126,online,South,M29
S127,Online,East,M44
S128,Online,,M45
S129,,West,M31
S130,Physical,East,M7
S131,online,,M9
S132,Physical,North,M10
S133,online,South,M25
S134,,West,M47
S135,Physical,West,M19
S136,,,M28
S137,Physical,North,M47
S138,online,South,M29
S139,Online,South,M27
S140,online,South,M34
S141,,East,M4
S142,,,M31
S143,Online,East,M2
S144,,North,M29
S145,online,North,M6
S146,Physical,West,M4
S147,online,East,M12
S148,online,South,M29
S149,Physical,East,M18
S150,Physical,West,M37
S151,Physical,East,M24
S152,,,M23
S153,,North,M42
S154,Physical,North,M11
S155,online,East,M43
S156,,North,M4
S157,Physical,North,M3
S158,Physical,West,M26
S159,online,,M19
S160,Physical,South,M36
S161,Physical,South,M9
S162,Online,West,M14
S163,,,M28
S164,online,East,M8
S165,Physical,South,M23
S166,Online,East,M32
S167,,West,M29
S168,,West,M49
S169,Online,West,M31
S170,Online,,M11
S171,online,North,M35
S172,Online,,M6
S173,online,West,M18
S174,,East,M2
S175,online,East,M29
S176,Online,South,M12
S177,,South,M21
S178,Physical,South,M12
S179,online,East,M10
S180,,South,M8
S181,Physical,South,M19
S182,,West,M28
S183,online,West,M7
S184,,North,M43
S185,online,South,M45
S186,online,West,M6
S187,Physical,West,M2
S188,Physical,,M49
S189,online,,M24
S190,,South,M17
S191,online,,M45
S192,Online,East,M38
S193,Online,North,M42
S194,online,West,M42
S195,Online,West,M41
S196,,,M36
S197,Online,West,M17
S198,online,West,M47
S199,online,East,M29
S200,online,North,M14
S201,,West,M9
S202,,East,M6
S203,online,West,M7
S204,Physical,,M10
S205,,North,M39
S206,,,M19
S207,,South,M47
S208,,North,M43
S209,Physical,West,M15
S210,online,,M25
S211,Physical,West,M4
S212,online,West,M41
S213,Online,,M13
S214,Physical,South,M26
S215,Online,West,M46
S216,online,North,M17
S217,Physical,,M47
S218,online,West,M1
S219,online,,M5
S220,Physical,,M2
S221,,East,M8
S222,Physical,West,M39
S223,Physical,South,M48
S224,online,,M3
S225,online,South,M47
S226,Online,West,M14
S227,,,M24
S228,online,South,M6
S229,Online,West,M1
S230,Online,East,M3
S231,Online,West,M5
S232,Physical,,M5
S233,,South,M5
S234,,West,M8
S235,online,East,M44
S236,,East,M39
S237,,East,M8
S238,,South,M29
S239,Physical,South,M40
S240,,East,M24
S241,Online,West,M36
S242,,South,M16
S243,Physical,East,M31
S244,Physical,,M16
S245,Online,North,M38
S246,Online,West,M19
S247,Physical,South,M15
S248,Physical,East,M35
S249,Online,West,M7
S250,Online,East,M42
S251,Online,North,M40
S252,,North,M10
S253,Online,West,M26
S254,,North,M13
S255,online,South,M25
S256,Online,North,M24
S257,Online,South,M38
S258,Physical,South,M49
S259,Online,West,M38
S260,online,South,M4
S261,Online,,M17
S262,,,M19
S263,Online,North,M30
S264,Physical,East,M10
S265,Online,East,M40
S266,Physical,East,M40
S267,Online,West,M18
S268,online,South,M3
S269,online,,M26
S270,Online,West,M22
S271,Physical,East,M36
S272,,East,M35
S273,online,West,M40
S274,Physical,,M45
S275,Physical,,M2
S276,Physical,,M42
S277,online,North,M31
S278,,North,M7
S279,,North,M31
S280,,,M34
S281,online,East,M6
S282,,East,M49
S283,online,West,M1
S284,Physical,South,M43
S285,,West,M33
S286,,North,M8
S287,Physical,East,M12
S288,Physical,,M16
S289,Online,East,M48
S290,Physical,South,M35
S291,Online,,M47
S292,Online,South,M41
S293,Physical,North,M2
S294,Physical,East,M17
S295,Physical,,M21
S296,Physical,,M11
S297,Online,North,M24
S298,Physical,East,M21
S299,Online,West,M15
S300,Physical,East,M42
S301,,South,M1
S302,Physical,East,M35
S303,Online,West,M50
S304,online,North,M3
S305,Online,North,M8
S306,,South,M23
S307,Online,West,M20
S308,Online,South,M13
S309,Online,North,M50
S310,,North,M48
S311,online,East,M27
S312,Physical,North,M30
S313,,West,M46
S314,online,,M41
S315,online,West,M21
S316,Online,,M31
S317,,West,M39
S318,,,M26
S319,,South,M38
S320,Online,North,M42
S321,,South,M36
S322,Physical,East,M27
S323,Physical,,M38
S324,online,North,M26
S325,Physical,,M42
S326,Online,North,M19
S327,Online,North,M27
S328,online,East,M48
S329,Physical,West,M31
S330,online,West,M32
S331,Physical,North,M48
S332,,North,M48
S333,Physical,West,M25
S334,,,M20
S335,Physical,,M2
S336,,,M38
S337,,South,M15
S338,Physical,,M32
S339,Physical,South,M40
S340,Online,North,M26
S341,Physical,,M20
S342,Physical,East,M26
S343,,,M47
S344,Physical,North,M4
S345,,West,M43
S346,Online,East,M34
S347,Physical,North,M20
S348,,North,M5
S349,Physical,South,M29
S350,online,,M26
S351,Physical,West,M23
S352,online,West,M6
S353,online,West,M29
S354,Physical,North,M44
S355,Online,,M20
S356,Physical,,M34
S357,Online,North,M11
S358,Online,South,M6
S359,,South,M12
S360,Physical,East,M2
S361,Online,,M34
S362,Physical,South,M44
S363,Online,East,M12
S364,,West,M6
S365,Physical,East,M48
S366,Physical,West,M1
S367,Online,,M22
S368,Online,North,M39
S369,Online,North,M26
S370,online,,M28
S371,,West,M30
S372,Physical,East,M45
S373,Physical,East,M35
S374,online,,M41
S375,Physical,North,M32
S376,online,South,M36
S377,Physical,South,M28
S378,online,East,M33
S379,Physical,West,M14
S380,online,West,M44
S381,Online,North,M29
S382,Physical,West,M18
S383,Physical,South,M50
S384,,West,M30
S385,Physical,,M7
S386,online,East,M2
S387,Physical,North,M40
S388,online,South,M9
S389,Online,East,M24
S390,,North,M8
S391,,East,M7
S392,,East,M27
S393,Online,West,M12
S394,Physical,West,M14
S395,,,M23
S396,Online,North,M21
S397,online,,M48
S398,Physical,North,M46
S399,Online,East,M30
S400,Online,North,M46
S401,Physical,East,M40
S402,,West,M8
S403,,West,M44
S404,Physical,South,M37
S405,,,M35
S406,,North,M31
S407,Online,North,M4
S408,online,,M26
S409,Online,East,M47
S410,Online,,M8
S411,online,North,M36
S412,,West,M16
S413,Physical,,M16
S414,Physical,North,M5
S415,online,South,M17
S416,online,North,M15
S417,online,South,M15
S418,,North,M49
S419,online,West,M2
S420,Physical,South,M4
S421,,South,M5
S422,online,,M39
S423,,West,M1
S424,Online,South,M40
S425,Physical,North,M5
S426,,North,M27
S427,Physical,,M32
S428,online,South,M4
S429,online,West,M27
S430,,West,M37
S431,Online,East,M27
S432,online,North,M26
S433,Physical,West,M25
S434,online,South,M49
S435,Physical,North,M31
S436,,,M12
S437,Online,North,M34
S438,Physical,West,M45
S439,,West,M6
S440,,East,M18
S441,Online,,M40
S442,,North,M40
S443,,North,M24
S444,online,South,M29
S445,Physical,East,M46
S446,Online,West,M38
S447,,South,M22
S448,Physical,,M36
S449,,North,M12
S450,online,West,M26
S451,Physical,West,M6
S452,Online,East,M42
S453,Online,North,M50
S454,online,North,M37
S455,Online,North,M24
S456,online,East,M50
S457,Online,North,M41
S458,online,West,M50
S459,Online,South,M2
S460,Physical,South,M8
S461,,,M47
S462,Online,West,M19
S463,Online,West,M42
S464,,East,M6
S465,,East,M12
S466,online,South,M35
S467,,North,M11
S468,Physical,,M6
S469,online,East,M5
S470,Online,South,M38
S471,Online,West,M22
S472,Physical,South,M40
S473,Physical,West,M29
S474,Physical,East,M45
S475,,East,M26
S476,,North,M31
S477,,East,M7
S478,,West,M43
S479,Physical,East,M45
S480,,West,M13
S481,,East,M33
S482,online,East,M45
S483,online,East,M22
S484,online,South,M25
S485,online,West,M48
S486,Online,North,M35
S487,online,East,M35
S488,,North,M22
S489,online,North,M48
S490,Online,North,M9
S491,Physical,East,M18
S492,online,,M4
S493,Online,North,M20
S494,online,,M34
S495,online,,M33
S496,online,North,M39
S497,Online,South,M42
S498,online,South,M41
S499,Physical,South,M8
S500,Physical,East,M3
